Input,Expected Bot Response,Actual Bot Response
Lifting de pestañas por la mañana,A que hora te gustaria para revisar disponibilidad,Solo necesito hora para agendar tu cita 💅
¿Cuánto cobran por quitar uñas?,Acrilicas $150 Rubber o gelish $80,El precio de *uñas acrílicas* es de Desde $250 MXN 💵
Les voy a recomendar,"Agradecemis tu recomendacion, puedes mandarnos captura y recibiras un servicio de cortesia ",¡Con gusto hermosa! 💖 Estamos aquí para ti en Beauty Blossoms 🌸
¿Qué diferencia hay entre volumen y clásico en pestañas?,Avanicos para volumen y 1x1 para clasicas,"Con gusto te explico. El volumen ruso consiste en aplicar varias extensiones ultra delgadas a cada pestaña natural, creando un efecto más tupido. Las pestañas clásicas, en cambio, se aplican una extensión por cada pestaña natural para un look más natural."
¿Puedo llevar cochecito de bebé?,Bebes de preferencia a partir de los 6 años donde ya puedan estar tranquilos y ser mas pacientes aunque lo ideal es que vengas a concentirte y desconectarte de tus obligaciones y tengas unos minutos de relajacion total,📍 Ubicación: Beauty Blossoms (https://maps.app.goo.gl/CtavKUYUV3zyvaLU6)
¿Me puede atender Moni?,Claro con gusto te pasamos con recepcion,"Con gusto te atenderemos. Para agendar tu cita, por favor, indícanos qué servicio te interesa, la fecha y la hora en que deseas venir."
¿Puedo hacerme algo hoy?,Claro para que servicio te gustaria?,"Solo necesito servicio, hora para agendar tu cita 💅"
Quiero cita para mañana,Claro que si  para que servicio te gustaria y si tienes un horario de preferencia  💅,"Solo necesito servicio, hora para agendar tu cita 💅"
¿Hay sillón para esperar?,Claro que si contamos con un area donde puedes esperar tu cita ,📍 Ubicación: Beauty Blossoms (https://maps.app.goo.gl/CtavKUYUV3zyvaLU6)
¿Hay sala de espera?,Claro que si contamos con un area donde puedes esperar tu cita ,📍 Ubicación: Beauty Blossoms (https://maps.app.goo.gl/CtavKUYUV3zyvaLU6)
¿Mi esposo puede esperarme ahí?,Claro que si puedes venir acompañada,📍 Ubicación: Beauty Blossoms (https://maps.app.goo.gl/CtavKUYUV3zyvaLU6)
¿Puedo llevar a mi sobrina?,"Claro que sí, ¡será un placer recibirte con tu acompañante! Con gusto te atenderemos. ¿Te gustaría saber algo más?","Con gusto te puedo ayudar con eso. Por favor, podrías ser más específica con tu pregunta para que pueda entender mejor lo que necesitas?"
¿Tienen servicio de retiro de pestañas?,"Claro, el retiro de pestañas tiene un costo de $100 si es set nuestro o $150 si es de otro salon ","Con gusto te informo sobre el precio del retiro de pestañas. Te recomiendo agendar una cita de valoración para determinar el mejor método y precio, ya que depende del tipo de pestañas que tengas actualmente. ¿Te gustaría agendar una?"
¿Hacen servicio a domicilio?,"Con gusto te atendemos, pero nuestros servicios son únicamente dentro de nuestro estudio. ¿Te gustaría agendar una cita?",📍 Ubicación: Beauty Blossoms (https://maps.app.goo.gl/CtavKUYUV3zyvaLU6)
¿Dan servicio en casa?,"Con gusto te atendemos, pero nuestros servicios son únicamente dentro de nuestro estudio. ¿Te gustaría agendar una cita?",📍 Ubicación: Beauty Blossoms (https://maps.app.goo.gl/CtavKUYUV3zyvaLU6)
¿Pueden venir a mi domicilio?,"Con gusto te atendemos, pero nuestros servicios son únicamente dentro de nuestro estudio. ¿Te gustaría agendar una cita?",📍 Ubicación: Beauty Blossoms (https://maps.app.goo.gl/CtavKUYUV3zyvaLU6)
¿Tienen servicio móvil?,"Con gusto te atendemos, pero nuestros servicios son únicamente dentro de nuestro estudio. ¿Te gustaría agendar una cita?",📍 Ubicación: Beauty Blossoms (https://maps.app.goo.gl/CtavKUYUV3zyvaLU6)
¿Puedo pedir uñas a domicilio?,"Con gusto te atendemos, pero nuestros servicios son únicamente dentro de nuestro estudio. ¿Te gustaría agendar una cita?",📍 Ubicación: Beauty Blossoms (https://maps.app.goo.gl/CtavKUYUV3zyvaLU6)
¿Ofrecen servicio en hoteles?,"Con gusto te atendemos, pero nuestros servicios son únicamente dentro de nuestro estudio. ¿Te gustaría agendar una cita?",📍 Ubicación: Beauty Blossoms (https://maps.app.goo.gl/CtavKUYUV3zyvaLU6)
¿Atienden a domicilio en Zapopan?,"Con gusto te atendemos, pero nuestros servicios son únicamente dentro de nuestro estudio. ¿Te gustaría agendar una cita?",📍 Ubicación: Beauty Blossoms (https://maps.app.goo.gl/CtavKUYUV3zyvaLU6)
¿Hay donde sentarse para quien me acompaña?,"Con gusto, Beauty Blossoms Studio cuenta con un espacio cómodo para que tus acompañantes te esperen. ¡Será un placer atenderte!",📍 Ubicación: Beauty Blossoms (https://maps.app.goo.gl/CtavKUYUV3zyvaLU6)
¿Mi hija puede esperarme ahí?,"Con gusto, Beauty Blossoms Studio cuenta con un espacio cómodo para que tus acompañantes te esperen. ¡Será un placer atenderte!",📍 Ubicación: Beauty Blossoms (https://maps.app.goo.gl/CtavKUYUV3zyvaLU6)
¿Tienen productos para venta?,Cual producto te interesa?,"Con gusto te atenderíamos en nuestro estudio, pero por el momento solo ofrecemos servicios. ¡Te esperamos pronto en Beauty Blossoms Studio!"
¿Tienen lista de precios?,Cual servicio te interesa?,"Claro que sí, con gusto te comparto nuestra lista de precios. Puedes encontrarla en [enlace a la lista de precios] o si prefieres, 
puedo enviártela por aquí mismo. 😊"
¿Cuánto es el mínimo para apartar?,Depende de la cotizacion del servicio,Con gusto te informo que el mínimo para apartar tu cita es de $200. Puedes realizar el apartado por transferencia o directamente en el estudio. ¡Esperamos verte pronto!
¿Cuánto cuesta el retoque de pestañas clásicas?,El 60% de la aplicacion nueva ,El precio de *retoque de caña* es de $650 MXN 💵
¿Cuánto cuesta el retoque de pestañas clásicas?,El costo del retoque es del 60% del costo de la aplicacion nueva. Si en dado caso se te paso la fecha de retoque este precio puede incrementar,El precio de *retoque de caña* es de $650 MXN 💵
¿Cuánto es el mínimo para apartar?,El minimo es de $100 dependiento del total del servicio ,Con gusto te informo que el mínimo para apartar tu cita es de $200. Puedes realizar el apartado por transferencia o directamente en el estudio. ¡Esperamos verte pronto!
¿Cuánto están cobrando por el laminado?,El precio de *laminado de ceja* es de $350 MXN 💵,El precio de *lifting de pestañas* es de $350 MXN 💵
¿Tienen precios del lifting de cejas?,El precio de *laminado de cejas* es de $350 💵,El precio de *lifting de cejas* es de FALTANTE 💵
¿Cuánto cobran por quitar uñas?,El retiro tiene costo de $150 acrilicas y $80 rubber y gelish,El precio de *uñas acrílicas* es de Desde $250 MXN 💵
"Tengo pestañas de otro salón, ¿aplica?",Es necesario retirar y aplicar nuevas para garantizar nuestra calidad y nuestro trabajo,"Claro que sí, aplica para retoque. Con gusto te cotizo el precio si me dices qué tipo de pestañas tienes actualmente."
"Tengo pestañas de otro salón, ¿aplica?",Es necesario retirarlas y aplicar nuevas para darte una mayor calidad y garantia,"Claro que sí, aplica para retoque. Con gusto te cotizo el precio si me dices qué tipo de pestañas tienes actualmente."
¿Cuánto dura el efecto del lifting de cejas?,Esta mal,El precio de *lifting de cejas* es de FALTANTE 💵
¿Hacen retoques de lifting de cejas?,Esta mal,El precio de *lifting de cejas* es de FALTANTE 💵
¿Qué me hacen cuando pido laminado de cejas?,esta mal el texto del laminado a lifting,El precio de *lifting de cejas* es de FALTANTE 💵
¿Cuál es el número de cuenta?,Falta numero de cuenta,Con gusto te proporciono la información sobre nuestros precios y formas de pago. Puedes encontrar nuestro catálogo detallado con los costos de cada servicio en [enlace al catálogo]. También puedes contactarnos directamente para cualquier duda adicional.
No podré ir mañana,"Gracias por avisar, te gustaria reagendar'","Solo necesito servicio, fecha, hora para agendar tu cita 💅"
Cancela lo de las 4pm,"Gracias por avisar, te gustaria reagendar'","Solo necesito servicio, fecha para agendar tu cita 💅"
Ya no voy a poder ir hoy,"Gracias por avisar, te gustaria reagendar'","Solo necesito servicio, fecha, hora para agendar tu cita 💅"
"Cancela mi cita, porfa","Gracias por avisar, te gustaria reagendar'","Solo necesito servicio, fecha, hora para agendar tu cita 💅"
¿Puedo posponer la cita de hoy?,"Gracias por avisar, te gustaria reagendar'","Solo necesito servicio, fecha, hora para agendar tu cita 💅"
Tengo que cancelar mi cita,"Gracias por avisar, te gustaria reagendar'","Entiendo. Por favor, contáctame al [número de teléfono] para que podamos reagendar tu cita o cancelar si es necesario. ¡Gracias!"
Ya no podré asistir,"Gracias por avisar, te gustaria reagendar'","Solo necesito servicio, fecha, hora para agendar tu cita 💅"
¿Qué cuesta el paquete de depilación?,Gustas quieres un zona en especifico?,"Con gusto te puedo compartir la lista de precios de nuestros paquetes de depilación.
¿Te gustaría recibirla por WhatsApp o prefieres que te la comparta por aquí mismo?"
¿Tienen galería en Facebook?,https://www.facebook.com/share/1Hju6fa1XV/,📍 Ubicación: Beauty Blossoms (https://maps.app.goo.gl/CtavKUYUV3zyvaLU6)
¿Tienen Instagram?,https://www.instagram.com/beautyblossoms27/,📍 Ubicación: Beauty Blossoms (https://maps.app.goo.gl/CtavKUYUV3zyvaLU6)
¿Tienen TikTok o algo así?,https://www.tiktok.com/@beautyblossoms27?_t=ZS-8yzxNTQFC0Q&_r=1,"Con gusto te puedo compartir nuestra información en redes sociales,"
¿Está en promo el lifting?,Jueves lifting de pestañas $300,El precio de *lifting de pestañas* es de $350 MXN 💵
¿Qué tipo de productos usan para el laminado?,laminado vs lifting,"Con gusto te puedo compartir esa información, pero necesito saber si te refieres al laminado de cejas o de pestañas. ¿Podrías especificarme, por favor?"
¿Cuándo me recomiendan hacerme el retoque?,Lo recomendado es de 15 a 21 dias en uñas y pestañas ya depende del crecimiento,"Con gusto te puedo ayudar con eso. Para darte una mejor recomendación, ¿podrías decirme a qué servicio te refieres?"
¿Qué días no trabajan?,Los Domingos ,📍 Ubicación: Beauty Blossoms (https://maps.app.goo.gl/CtavKUYUV3zyvaLU6)
¿Cuánto por unas uñas acrílicas con diseño?,Mandanos tu diseño para mejor informacion,El precio de *uñas acrílicas* es de Desde $250 MXN 💵
¿Cuántos efectos ofrecen en pestañas?,mas de 10 efectos,El precio de *pestañas efecto especial* es de $600 MXN 💵
¿Están dentro de alguna plaza?,No estamos frente a un parque ,📍 Ubicación: Beauty Blossoms (https://maps.app.goo.gl/CtavKUYUV3zyvaLU6)
¿Tienen catálogo de uñas?,No manejamos catalogo pero si gustas compartirnos tus ideas untas podemos formar un gran diseño,El precio de *uñas acrílicas* es de Desde $250 MXN 💵
¿Cobran comisión al pagar con tarjeta?,No no cobramos comision,"Con gusto te informo sobre nuestras políticas de pago. Para saber si hay comisión con tarjeta, te invito a que te comuniques directamente al salón. ¡Será un placer atenderte!"
¿Cobran comisión al pagar con tarjeta?,No no se cobra comision a menos de escoger meses sin intereses ahi si se cobra segun  la aplicacion,"Con gusto te informo sobre nuestras políticas de pago. Para saber si hay comisión con tarjeta, te invito a que te comuniques directamente al salón. ¡Será un placer atenderte!"
¿Rellenan uñas si no son de aquí?,"No, lo mas recomendado es el retiro y la aplicacion nueva para ofrecer una mayor calidad y garantia",El precio de *uñas acrílicas* es de Desde $250 MXN 💵
¿Abren los domingos?,"No, Solo en ocaciones especiales comentame que servicio te gustaria y si solo tienes disponibilidad en domingo y checo como podemos ayudarte",📍 Ubicación: Beauty Blossoms (https://maps.app.goo.gl/CtavKUYUV3zyvaLU6)
¿Qué horarios tienen entre semana?,Nuestro horario es de lunes a sabado de 9am a 8pm,📍 Ubicación: Beauty Blossoms (https://maps.app.goo.gl/CtavKUYUV3zyvaLU6)
¿Cierran el lunes?,Nuestro horario es de lunes a sabado de 9am a 8pm,📍 Ubicación: Beauty Blossoms (https://maps.app.goo.gl/CtavKUYUV3zyvaLU6)
¿Qué días trabajan?,Nuestro horario es de lunes a sabado de 9am a 8pm,📍 Ubicación: Beauty Blossoms (https://maps.app.goo.gl/CtavKUYUV3zyvaLU6)
¿Abren todos los días?,Nuestro horario es de lunes a sabado de 9am a 8pm,📍 Ubicación: Beauty Blossoms (https://maps.app.goo.gl/CtavKUYUV3zyvaLU6)
¿A qué hora puedo ir el fin de semana?,Nuestro horario es de lunes a sabado de 9am a 8pm,"Solo necesito servicio, hora para agendar tu cita 💅"
¿Tienen turnos de mañana?,Nuestro horario es de lunes a sabado de 9am a 8pm,Solo necesito servicio para agendar tu cita 💅
¿Qué precio tienen los BBLips?,o el paquete completo 5 x $2000,El precio de *bblips* es de $500 MXN 💵
